36.110.176.50,80,5.030346821,0.090119533,692,0
175.25.168.40,443,5.190721649,0.535790201,582,0
2001:da8:215:82e:7968:217:6c94:cf1e,43882,5.371428571,0.976326531,105,0
103.192.253.21,80,5.081521739,0.237919423,184,0
222.73.60.211,80,5.051020408,0.150458142,294,0
106.38.249.137,80,5.12,0.3456,150,0
2001:da8:215:c588:90f1:574f:a965:bb97,49461,5.668989547,1.489735216,287,0
220.181.105.153,80,5.222222222,0.617283951,405,0
2001:da8:215:c4e8:adb8:3fc3:20b5:8b99,51372,5.010204082,0.030508122,294,0
10.3.55.56,993,5.081140351,0.236837296,1368,0
36.110.176.108,80,5.021556886,0.064205959,1670,0
2001:da8:215:4078:250:56ff:fe97:654d,80,5.237467018,0.656010471,1137,0
2001:250:1001:2500:981a:bfd5:a5e6:1ee1,58266,6.220613421,3.306615411,6423,0
2001:cc0:2034:143:a4ff:b3e3:9d13:a258,64387,5.368600683,0.969935585,293,0
180.149.155.120,80,5.06017192,0.176895099,349,0
2001:cc0:2020:2014:7cb8:db4e:206a:4f19,33877,5.468483816,1.356332113,587,0
166.111.66.39,2794,5.054545455,0.160661157,55,0
36.110.176.25,80,5.081081081,0.236669102,148,0
10.3.200.200,9999,5.33125,0.884023438,480,0
2001:da8:a000:152:d579:aadb:5dd4:4d4b,49461,6.333451327,2.631465079,2825,0
220.181.78.113,80,5.034715526,0.102941409,1037,0
59.63.177.74,80,5.072580645,0.212473985,248,0
219.149.55.232,80,5.184834123,0.335504593,422,0
2001:da8:215:c670:8d0c:a490:9660:851f,50734,5.241056687,0.665061734,1817,0
2001:da8:215:eaba:c0ab:575d:9308:b27d,48743,5.001278772,0.003834682,2346,0
2001:da8:203:2214:84d2:4948:646c:ca4f,45440,5.363636364,0.958677686,231,0
211.68.68.6,993,5.089108911,0.259386335,101,0
183.61.116.19,10008,5.545454545,1.338842975,110,0
121.195.178.52,993,5.101123596,0.293144805,89,0
166.111.66.39,2786,5.18,0.5076,50,0
2402:f000:1:1501:200:5efe:a66f:ae67,49461,5.282352941,0.76733564,170,0
2001:da8:215:c367:30e0:ad4a:6372:4ae4,59696,5.25,0.6875,156,0
192.168.56.6,26745,6.384615385,0.813609467,156,1
2001:cc0:2034:143:7d1c:2d59:4a46:199a,64387,5.376494024,0.987734322,502,0
113.105.152.207,80,5.700934579,1.611494454,107,0
192.168.56.14,28418,6.405913978,1.009965025,372,1
54.230.149.88,80,5.310344828,0.834720571,116,0
202.102.93.138,80,5.036395147,0.107860835,577,0
192.168.56.9,27473,6.41796875,0.977645874,512,1
117.41.242.199,80,5.36,0.9504,100,0
60.205.8.179,80,5.275,0.749375,120,0
180.97.199.10,88,5.012738854,0.025315429,157,0
220.181.141.250,80,5.068181818,0.199896694,176,0
82.145.215.85,443,7.859813084,0.400908376,107,0
207.46.10.10,993,5.099667774,0.289069657,301,0
192.168.56.101,28616,6.373333333,1.033955556,600,1
192.168.56.7,25510,6.783333333,1.236388889,120,1
101.226.245.175,80,5.029363785,0.087229122,613,0
2001:da8:215:ea6c:5093:fb9e:adef:5866,12328,5.947315388,2.201773058,13894,0
2001:da8:215:d826:6ce2:48d7:b5dc:afdb,49461,5.405405405,1.051862673,222,0
114.64.222.48,80,5.018518519,0.05521262,162,0
163.177.72.198,993,5.072,0.210816,125,0
2001:da8:204:1062:9810:5426:8c64:604e,50291,6.696190476,3.182937868,1050,0
106.38.249.103,80,5.06763285,0.198324348,621,0
192.168.56.10,26724,6.375,1.006696429,448,1
